p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
1.1199229086187e-05	46.282465755249	0.104	0.051	0.153586227687969	AKTIP	control	46.282465755249
1.12999938545259e-05	4.03798799982127	0.375	0.274	0.154968115720968	GYPC	control	4.03798799982127
1.21020539565609e-05	1.11194064258031	0.153	0.088	0.165967567960276	SH3YL1	control	1.11194064258031
1.22394208987484e-05	1.74701872569771	0.043	0.013	0.167851418205436	CD200R1	control	1.74701872569771
1.22427082065908e-05	1.02834458825654	0.28	0.19	0.167896500345186	HNRNPR	control	1.02834458825654
1.24177455463165e-05	31.0114935924468	0.317	0.223	0.170296962422184	TMEM14B	control	31.0114935924468
1.26012344014042e-05	0.71465322953719	0.251	0.167	0.172813328580857	RPA2	control	0.71465322953719
1.31202901907578e-05	2.15759277514069	0.029	0.006	0.179931659676052	WNT7A	control	2.15759277514069
1.33434427028966e-05	6.48192820631833	0.389	0.286	0.182991973227524	PRDX1	control	6.48192820631833
1.36877076715331e-05	1.60525709340675	0.048	0.016	0.187713223007405	C5ORF28	control	1.60525709340675
1.40497967671427e-05	1.30298821012438	0.062	0.024	0.192678912864595	TRANK1	control	1.30298821012438
1.48937508331525e-05	1.44008962619893	0.058	0.022	0.204252898925853	TIPARP	control	1.44008962619893
1.62989036563273e-05	2.93093509712979	0.244	0.164	0.223523164742872	NUCKS1	control	2.93093509712979
1.64236862181064e-05	0.727113460210437	0.147	0.083	0.225234432795111	NCK1	control	0.727113460210437
1.72443357186728e-05	19.3629998773504	0.087	0.04	0.236488820045879	MLLT10	control	19.3629998773504
1.75520258002579e-05	0.579552537838855	0.207	0.13	0.240708481824737	TNIP1	control	0.579552537838855
1.76763436411328e-05	2.02715075530832	0.23	0.151	0.242413376694495	SNRPF	control	2.02715075530832
1.87613508476378e-05	0.951231045112898	0.081	0.036	0.257293165524504	SLA2	control	0.951231045112898
1.97702634302499e-05	1.34852663036591	0.062	0.025	0.271129392682447	RRM1	control	1.34852663036591
1.99912655843111e-05	1.84231768767622	0.064	0.026	0.274160216223243	RNF214	control	1.84231768767622
